-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.022,  0.115
-183.800, 80.199, 0.021,  0.148
-183.800, 80.199, 0.020,  0.181
-183.800, 80.198, 0.021,  0.214
-183.800, 80.198, 0.025,  0.247
-183.800, 80.197, 0.045,  0.280
-183.799, 80.193, 0.111,  0.313
-183.798, 80.187, 0.194,  0.346
-183.794, 80.177, 0.293,  0.379
-183.788, 80.163, 0.419,  0.412
-183.779, 80.145, 0.552,  0.445
-183.768, 80.125, 0.602,  0.478
-183.753, 80.102, 0.722,  0.511
-183.735, 80.074, 0.873,  0.544
-183.715, 80.041, 1.039,  0.577
-183.693, 80.003, 1.207,  0.610
-183.671, 79.960, 1.375,  0.643
-183.648, 79.912, 1.534,  0.676
-183.625, 79.859, 1.683,  0.709
-183.601, 79.801, 1.811,  0.742
-183.577, 79.742, 1.890,  0.775
-183.553, 79.681, 1.932,  0.808
-183.530, 79.620, 1.947,  0.841
-183.507, 79.559, 1.941,  0.874
-183.484, 79.499, 1.921,  0.907
-183.461, 79.440, 1.890,  0.940
-183.438, 79.382, 1.851,  0.973
-183.416, 79.326, 1.806,  1.006
-183.394, 79.271, 1.758,  1.039
-183.373, 79.219, 1.684,  1.072
-183.352, 79.169, 1.623,  1.105
-183.332, 79.120, 1.573,  1.138
-183.311, 79.073, 1.534,  1.171
-183.291, 79.026, 1.512,  1.204
-183.270, 78.979, 1.510,  1.237
-183.249, 78.932, 1.532,  1.270
-183.228, 78.884, 1.573,  1.303
-183.206, 78.834, 1.625,  1.336
-183.184, 78.782, 1.678,  1.369
-183.162, 78.728, 1.740,  1.402
-183.139, 78.672, 1.807,  1.435
-183.116, 78.614, 1.868,  1.468
-183.093, 78.554, 1.906,  1.501
-183.070, 78.494, 1.920,  1.534
-183.047, 78.434, 1.914,  1.567
-183.025, 78.375, 1.894,  1.600
-183.004, 78.317, 1.863,  1.633
-182.982, 78.260, 1.825,  1.666
-182.962, 78.205, 1.762,  1.699
-182.942, 78.152, 1.710,  1.732
